dataset,seed,k,r_mean_k,r_std_k,r_slope_k,r_max_k,dev_k,val_delta_k,final_fixed_r10,final_cf_r10,final_delta,collapse_label
amazonff,2025,10,1.7986136773975878,0.5052035965570583,0.0529906655943797,2.322832816667073,0.8795297261126948,0.09079999999999999,0.6298779272546089,0.5298245426720762,0.18884248751056773,0
mind,42,3,0.5905252035386369,0.17659541057628542,0.06348106367102585,0.7762904825448408,0.4094747964613632,0.5028999999999999,0.05970118952993438,0.06572101273488656,-0.09159662875470408,0
mind,42,5,0.7135480265481376,0.20453280904606067,0.04430214860017205,0.9304930649118688,0.28645197345186235,0.004299999999999998,0.05970118952993438,0.06572101273488656,-0.09159662875470408,0
mind,42,10,0.8347188725052673,0.18878155010658618,0.01750605300471775,0.9675923686128776,0.1652811274947328,-0.007300000000000008,0.05970118952993438,0.06572101273488656,-0.09159662875470408,0
mind,123,3,0.5932276863126191,0.17938872878364032,0.06440561496828416,0.7809522321995749,0.40677231368738087,0.5098999999999999,0.057485889314417386,0.06436649014689336,-0.1068972506760362,1
mind,123,5,0.7133757946416126,0.20315879816163834,0.04366311682001376,0.9215244570572966,0.28662420535838745,0.008099999999999996,0.057485889314417386,0.06436649014689336,-0.1068972506760362,1
mind,123,10,0.833212320047143,0.18716050561100486,0.017335026550672348,0.963636144628149,0.1667876799528571,-0.005699999999999997,0.057485889314417386,0.06436649014689336,-0.1068972506760362,1
mind,999,3,0.5959295601044775,0.17570941224077974,0.06340898808150594,0.7839386646388786,0.4040704398955224,0.5051,0.053352611812399364,0.06788699293576814,-0.21409669945031304,1
mind,999,5,0.7163322736346536,0.20148455880005417,0.04353165920942449,0.925507691758986,0.28366772636534626,-0.0006999999999999992,0.053352611812399364,0.06788699293576814,-0.21409669945031304,1
mind,999,10,0.8339569913246002,0.18486229963966289,0.017010822925510878,0.9635533112634824,0.1660430086753996,-0.007299999999999994,0.053352611812399364,0.06788699293576814,-0.21409669945031304,1
mind,2024,3,0.6005674111865533,0.17883854809652064,0.06414452464646633,0.786948025537807,0.3994325888134467,0.5334,0.0582008574800684,0.06514568902927888,-0.10660462192644252,1
mind,2024,5,0.7185357852970462,0.20117912247153338,0.043210994628078356,0.9274374314200836,0.2814642147029537,-0.0022000000000000006,0.0582008574800684,0.06514568902927888,-0.10660462192644252,1
mind,2024,10,0.8349355598484001,0.18393795486269268,0.016838930256133332,0.9677417125019095,0.1650644401515999,-0.008499999999999994,0.0582008574800684,0.06514568902927888,-0.10660462192644252,1
mind,2025,3,0.5944626491503243,0.17946756734987823,0.0648499985493057,0.7876446355898388,0.4055373508496756,0.5258999999999999,0.05272229055558776,0.06570630275377728,-0.19760679955844113,1
mind,2025,5,0.7188050220861297,0.20690761950483677,0.04474333162336869,0.932432222425175,0.28119497791387044,0.003599999999999999,0.05272229055558776,0.06570630275377728,-0.19760679955844113,1
mind,2025,10,0.8383934068332743,0.18908639431601917,0.01736306471325405,0.9701832637194348,0.1616065931667255,-0.0034000000000000002,0.05272229055558776,0.06570630275377728,-0.19760679955844113,1
ml1m,42,3,0.8179721743014259,0.023763448253879754,0.007855162558662214,0.8368199086150818,0.18202782569857423,0.3839,0.05156518456849877,0.05273364546413173,-0.022157787221548406,0
